Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,matchname,city,street,postalcode
Restaurant le cracheur de feu,YAN CLOUTIER,PivoHub/Courriel,4388633808,lecracheurdefeu@videtron.ca,QC Sud-Est,3,csp,No match,N/A,N/A,N/A
Général,DEPANNEUR TOUT PRES(LEVIS),Maryse,Courriel,4188371633,DEPANNEURTOUTPRES@HOTMAIL.COM,QC Sud,1,,DEPANNEUR TOUT PRES(LEVIS). - 00467,LEVIS,97 RTE WOLFE,G6V3Y7
Général,LE FRIDGE,Xavier (am),Cell + Email,4184404019,boutiquelefridge@outlook.com,QC Sud,1,,No match,N/A,N/A,N/A
DBSQ + AA,LE MONDE DES BIÈRES - ST-NICOLAS,Marilyne / Pierre,Cell + Email,4184966223,mdb.stnicolas@gmail.com,QC Sud,1,,LE MONDE DES BIÈRES:LE MONDE DES BIERES - ST-NICOLAS. - 00469,local 108,1810 ROUTE DES RIVIÈRE
cal108
DBSQ,LE MONDE DES BIÈRES LEVIS,Anthony,Courriel,4189033818,mdb.levis@gmail.com,QC Sud,2,,LE MONDE DES BIÈRES:LE MONDE DES BIERES LEVIS. - 00470,LÉVIS QUÉBEC G6V6C8,65 ROUTE DU PRÉSIDENT KENNEDY LOCAL 100,G6V6C8
2% Gestion,METRO 3260 : ACCOMODATION TRIOLET,Mario Leblanc,Courriel,4188324941,TRIOLET1@VIDEOTRON.CA,QC Sud,2,,METRO/:MÉTRO ACCOMODATION TRIOLET 3260.,CHARNY,5243 AV DES  GENERATIONS,G6X2G6
2% Gestion,METRO 5220 : AM ROY,JEROME .,Telephone,4184556824,,QC Sud,2,,No match,N/A,N/A,N/A
Général,8881 PROVIGO LEVIS ST-GEORGES,SERGE GAGNÉ .,Telephone,4188333404,SMP8078D@PROVIGO.CA,QC Sud,3,,LOBLAW:PROVIGO LEVIS SAINT-GEORGES (8881) - 00474,,LOBLAW
Général,ACCOMODATION LAUZON,Daniel Côte (418-998-9360)/ Jean-Philippe .,Cell Phone,4188376607,ACCLAUZON@VIDEOTRON.CA,QC Sud,3,,ACCOMODATION LAUZON. - 00471,LÉVIS QUÉBEC G6V1G1,289 RUE ST-JOSEPH,G6V1G1
Général,DEPANNEUR PETRO-CANADA ST-HENRI-DE-LEVIS,Brigitte Asselin (appelez mercredi),Telephone,4188950871,DO12548@SUNCOR.COM,QC Sud,3,,DEPANNEUR PETRO-CANADA ST-HENRI-DE-LEVIS. - 00472,SAINT-HENRI-DE-LÉVIS,"34 1/2, DU PRESIDENT KENNEDY",G0R3E0
2% Gestion,METRO 0744: LAROCHE ET FILS INC,David metrodavid744@gmail.com,Courriel,4188317987,metrodavid744@gmail.com,QC Sud,3,,METRO/:METRO LAROCHE ET FILS INC -0744.,SUITE 100,3045 RTE LAGUEUX
ITE100
Général,METRO 0768 : METRO STE-CROIX,PASCALE .,Email,4189262267,MA000768OPR@METRO.CA,QC Sud,3,,METRO/:MÉTRO STE-CROIX  - 0768.,STE-CROIX-LOTBINIERE QUÉBEC G0S2H0,6452 PRINCIPALE,G0S2H0
2% Gestion,METRO 22636 : ALIMENTATION JEAN-FRANCOIS LEVESQUE,martin gosselin apres 11h,Telephone,4188314866,mf022636opr@metro.ca,QC Sud,3,,METRO/:MÉTRO ALIMENTATION JEAN-FRANÇOIS LÉVESQUE 22636.,LÉVIS,"1425, ROUTE DES RIVIÈRES",G7A2N9
2% Gestion,METRO 2819: METRO LEVIS,Jean-François Leclerc .,Telephone,4188356313,MF022819OPR@METRO.CA,QC Sud,3,,METRO/:MÉTRO 2819 - ALIMENTATION KATY LAPIERRE.,LÉVIS,"44, route du Président-Kennedy",G6V6C5
2% Gestion,METRO 4589 : METRO DEPANNEUR GV,Sandra ou Sydney,Courriel,4188394485,DEPANNEURGV@VIDEOTRON.CA,QC Sud,3,,METRO/:MÉTRO DÉPANNEUR GV 4589.,ST-JEAN CHRYSOSTOME QUÉBEC G622E8,1083 AVENUE TANIATA,G622E8
2% Gestion,METRO 577: METRO DESCHAILLONS,David,Telephone,8192922731,,QC Sud,3,,METRO/:MÉTRO DESCHAILLONS (577).,QUÉBEC G0S1G0,300 12E AVENUE,G0S1G0
Général,Super Marché Famille Rousseau,STEEVE GIRARD .,Cell + Email,4188315400,IGA00168COMPTABILITE@SOBEYS.COM,QC Sud,3,,No match,N/A,N/A,N/A
Général,Accommodation FL,Sebastien,Courriel,4188813858,depstapo@outlook.com,QC Sud,4,,No match,N/A,N/A,N/A
Général,LE DORIMÈNE,Etienne Villeneuve,Courriel,4189034446,etienne.villeneuve@gmail.com,QC Sud,3,csp,No match,N/A,N/A,N/A
2% Gestion,ACCOMODATION CLAIRBOURG(METRO 6970),Gabrielle (CELL:418.523.0348) .,Cell Phone,4188496570,JULIE.MORIN2009@HOTMAIL.COM,Quebec 1,2,,METRO/:ACCOMODATION CLAIRBOURG (6970). - 00479,QUÉBEC QUÉBEC G3G2V8,1423 AV. DU LAC SAINT-CHARLES,G3G2V8
DBSQ + AA,LE MONDE DES BIÈRES (BEAUPORT),Laurent Georges,Courriel,4186609983,LAURENTGEORGES777@HOTMAIL.COM,Quebec 1,2,,LE MONDE DES BIÈRES:LE MONDE DES BIÈRES (BEAUPORT). - 00480,BEAUPORT QUÉBEC G1C3P9,"340 A, RUE SEIGNEURIAL",G1C3P9
DBSQ,SO-CHO (FANNIE GOURMETS LEBOUGNEUR INC ),Fanny,Courriel,4187047711,FANNIESTCYR@GMAIL.COM,Quebec 1,2,,SO-CHO (FANNIE GOURMETS LEBOUGNEUR INC ). - 00481,,825 BOUL. LEBOURNEUF,G2J0B9
2% Gestion,ALIMENTATION LEMIRE,LEI MIE (418-265-6707) .,Telephone,4186262860,niekaidong@hotmail.com,Quebec 1,3,,ALIMENTATION LEMIRE - 00822,,5285 1ERE AVENUE,G1H2V3
Général,Alimentation Nord-Sud,France .,Telephone,4186287687,prozion@bellnet.ca,Quebec 1,3,,SOBEYS:ALIMENTATION NORD SUD - 5932 - 00758,,4449 RUE DES ROSES,G1G1P3
Général,Dépanneur de la lumière,Frank Chouinard (APRÈS-MIDI)Cell: 418-435-3755 .,Cell + Email,4184352259,depanneurdelalumiere@hotmail.com,Quebec 1,3,,No match,N/A,N/A,N/A
Général,IGA EXTRA LES SAULES 445,Andrée-Ann (congé lundi) .,Telephone,4188773922,IGA00445QUEBEC@SOBEYS.COM,Quebec 1,3,,SOBEYS:IGA EXTRA LES SAULES 445. - 00482,QUÉBEC QUÉBEC G1P4K6,5005 BOUL. LORIMIERE,G1P4K6
2% Gestion,METRO 2626 : ALIMENTATION SERGE FILTEAU,Fred ou Alain (Installer open deck 16pieds 17 fév) Va commander le 27 Février .,Telephone,4186261056,,Quebec 1,3,,METRO/:MÉTRO CHARLESBOURG 3906.,QUÉBEC,"8500, boul. Henri-Bourassa",G1G5X1
2% Gestion,METRO 5988 : METRO SUPER C BEAUPORT,Pascal .,Telephone,4186673336,MS005988Opr@metro.ca,Quebec 1,4,,METRO/:MÉTRO SUPER C BEAUPORT 5988.,QUÉBEC QUÉBEC G1C0C7,"981, AVENUE NORDIQUE",G1C0C7
2% Gestion,METRO 5990 : METRO SUPER C STE-ANNE-DE-BEAUPRE,CARL FAUCHER .,Telephone,4188273474,,Quebec 1,4,,METRO/:MÉTRO SUPER C STE-ANNE-DE-BEAUPRÉ 5990.,STE-ANNE-DE-BEAUPRÉ QUÉBEC G0C3C0,10516 BOUL. STE-ANNE,G0C3C0
Général,LES MALTCOMMODES,Alain / Jean Gagne,Telephone,4186637171,AROCHETTE@LESMALTCOMMODES.COM,Quebec 1,3,csp,LES MALTCOMMODES. - 00484,QUÉBEC QUÉBEC G1C5R9,3333 RUE DU CARREFOUR LOCAL A-53,G1C5R9
DBSQ,L'AXE DU MALT HB,Remi,Cell + Email,5817427490,CAPSULESBIERE@LIVE.FR,Quebec 2,1,,L'AXE DU MALT.,QUÉBEC QUÉBEC G1R1M6,601 RUE D'AIGUILLON,G1R1M6
DBSQ,L'AXE DU MALT LIMOILOU,REMI / MARTIN .,Cell + Email,5817427490,capsulesbiere@live.fr,Quebec 2,1,,L'AXE DU MALT.,QUÉBEC QUÉBEC G1R1M6,601 RUE D'AIGUILLON,G1R1M6
2% GESTION + AA,METRO 6653 : ALIMENTATION ESCOMPTE IMPACT,eric (debute a 15H) / Carl,Cell + Email,4185291600,ericlortie@hotmail.com,Quebec 2,1,,METRO/:MÉTRO ALIMENTATION ESCOMPTE IMPACT #6653.,,1600  4E AVENUE,G1J3C3
Général,SUPERETTE DU DINER(livraison à partir de 11h30),NICOLAS TREMBLAY . 418-809-9491,Cell + Email,5817059555,superettedudiner@gmail.com,Quebec 2,2,,SUPERETTE DU DINER - 00755,,411 RUE ST-VALLIER OUEST,G1K1K7
Général,DEPANNEUR NUTRISOIR,APPELER veng cheng après 15h15 14185296731,Telephone,4185298888,huangzengcheng@hotmail.com,Quebec 2,3,,DÉPANNEUR NUTRISOIR. - 00487,QUÉBEC QUÉBEC G1L3J8,"444, 1ER AVENUE",G1L3J8
Général,La Place Boutique Gourmande,François Lebel,Courriel,4185297524,laplace@email.com,Quebec 2,3,,9255-6091 - LA PLACE BOUTIQUE GOURMANDE,,"699, ST-JOSEPH EST",G1K3C1
2% Gestion,METRO 2834: METRO ALIMENTATION STEVE LAPOINTE,MARTIN VERRETTE .,Telephone,4186488794,,Quebec 2,3,,METRO/:MÉTRO ALIMENTATION STEVE LAPOINTE 22834.:MÉTRO ALIMENTATION STEEVE LAPOINTE INC 2834,QUÉBEC,"860, boulevard Charest Est",G1K8S5
2% Gestion,METRO 6869: METRO EPICERIE COUILLARD,Raymond + tel.,Courriel,4186923748,epiceriecouillard@gmail.com,Quebec 2,3,,METRO/:MÉTRO ÉPICERIE COUILLARD 6869.,,27 RUE COUILLARD,G1R3T4
Tapas et Lièges,,Cell + Email,,plcullen@tapasetliege.com,Quebec 2,,csp,No match,N/A,N/A,N/A
Microbrasserie,BRASSERIE LES MORDUS (20L),Martine Plante,Courriel,4186923365,Martine.plante@brasserielesmordus.com,Quebec 2,2,csp,BRASSERIE LES MORDUS. - 00711,,57 RUE SAINTE-ANNE,G1R3X4
Général,LA PLANQUE RESTAURANT CSP,Joëlle (ouvre à 17h00) .,Cell + Email,4189148780,joelle.giard@hotmail.fr,Quebec 2,3,csp,No match,N/A,N/A,N/A
Général,L'ANTI BAR ET SPECTACLES,Karl-Emmanuel Picard,Courriel,4182651919,DISTRICT7PROD@GMAIL.COM,Quebec 2,3,csp,L'ANTI BAR ET SPECTACLES. - 00494,QUÉBEC QUÉBEC GIK3A9,260 ST-JOSEPH EST,GIK3A9
"Général,""LE SACRAMENT (FÛT,CSP)"",JEFF BELLEY (581-999-2345),Telephone,(418) 686-2067,",,,,,,Quebec 2,3,csp,No match,N/A,N/A,N/A
Général,PUB ST-PATRICK (CSP),Simon / Marc Coulombe (ouvre à 11h00) .,Courriel,4186940618,samuel.begin@toprestogroup.com,Quebec 2,3,csp,PUB ST-PATRICK (CSP). - 00497:BAR ST-PATRICK. - 00329,TERREBONNE QUÉBEC J6W1E4,774 RUE ST-PIERRE,J6W1E4
Général,JONATHAN FOURNIER (LE TREFLE),Jonathan,Cell + Email,4189149596,LETREFLE@TAVERNEIRLANDAISE.COM,Quebec 2,4,csp,LE TRÈFLE (LIMOILOU) - 00764,QUÉBEC,"699, 3 IÈME AVENUE LIMOILOU",G1L2W5
Général,LE CLOCHER PENCHE BISTROT,Thomas,Telephone,4186491010,INFO@CLOCHERPENCHE.CA,Quebec 2,4,csp,LE CLOCHER PENCHÉ BISTROT. - 00491,QUÉBEC QUÉBEC G1K3B1,203 RIE ST-JOSEPHT EST,G1K3B1
Général,L'ORYGINE (CSP),Philippe Veilleux,Cell + Email,4188724386,comptabilite@restaurantlataniere.com,Quebec 2,4,csp,No match,N/A,N/A,N/A
Général,RESTAURANT LE CENDRILLON,Joffrey (lundi ferme),Telephone,4186092519,INFO@LECENDRILLONRESTAURANT.COM,Quebec 2,5,csp,RESTAURANT LE CENDRILLON.,QUÉBEC QUÉBEC G1L2X3,1039 3IEVE AVENUE,G1L2X3
Général,CHACUN SA BIÈRE,Maxime Labbe,Courriel,4183261067,MAXLABBE_1993@HOTMAIL.COM,Quebec 3,2,,CHACUN SA BIÈRE. - 00498,SAINT-MARC-DES-CARRIÈRES QUÉBEC G0A4B0,"1446, BOUL BONA DUSSAULT",G0A4B0
AA,DEPANNEUR DE LA RIVE,Dany (AM) .,Courriel,4186532783,DANCHABOT@HOTMAIL.COM,Quebec 3,2,,DÉPANNEUR DE LA RIVE. - 00499,CAP ROUGE,4328 SAINT-FELIX,G1Y1X7
2% Gestion,MÉTRO 2660 - ALIMENTATION PHILIPPE BÉLANGER,SIMON (abs. lundi)  Frigo Spécialité .,Telephone,4188724444,villeneuvesimon@hotmail.commf022660opr@metro.ca,Quebec 3,2,,METRO/:MÉTRO 2660 - ALIMENTATION PHILIPPE BÉLANGER,QUÉBEC,"3525, rue de L'Hêtrière, RR 8",G3A0C1
Général,BOUCHERIE GODIN,simon 418-473-5252 .,Courriel,4182852755,info@boucheriegodin.com,Quebec 3,3,,No match,N/A,N/A,N/A
Général,LA MURAILLES DES BIÈRES,Mei .,Telephone,4188731991,LAMURAILLEDESBIERES@GMAIL.COM,Quebec 3,3,,LA MURAILLE DES BIÈRES. - 00502,PONT-ROUGE,"342, DUPONT",G3H1R4
2% Gestion,METRO 22658 : ALIMENTATION ANNICK NOTEAU (Metro Innovation),Claude Girard Kevin Corbin,Telephone,4186560728,,Quebec 3,3,,METRO/:MÉTRO ALIMENTATION ANNICK NOREAU 22658.,QUÉBEC,"2360, ch. Ste-Foy, local 100",G1V4H2
2% Gestion,METRO 2695 : ANCIENNE LORETTE,helene langevin apres 11h pas le vendredi,Telephone,4188726236,,Quebec 3,3,,METRO/:MÉTRO ANCIENNE LORETTE 2881,L'ANCIENNE-LORETTE,"1858, RUE NOTRE-DAME",G2E3C8
2% Gestion,METRO 2752: METRO ALIMENTATION ALEXANDRE FORTIN,Claude Plourde (av 15h),Telephone,4188701653,mf022752opr@metro.ca,Quebec 3,3,,No match,N/A,N/A,N/A
2% Gestion,METRO 2881: METRO DUPLESSIS,Marco .,Telephone,4186566116,MF022623MGR@METRO.CA,Quebec 3,3,,METRO/:MÉTRO 2881- MR. INC / DUPLESSIS,QUÉBEC,"3291, CHEMIN STE-FOY - SUITE101",G1X3V2
2% Gestion,METRO 2992 : METRO PLACE STE-FOY,Benoit Bacon (Pas de frigo),Telephone,4186518150,MF022640OPR@METRO.CA,Quebec 3,3,,METRO/:MÉTRO MARCHÉ STE-FOY 2640,G1V 2L1,"2450, boul. Laurier",G1V2L1
METRO 4143 : MARCHE DENIS RENAUD (ST-MARC),Vicky Gagnon app après 11h,Telephone,4182683212,ma004143opr@metro.ca,Quebec 3,3,,METRO/:MÉTRO 4143 - SUPER MARCHÉ DENIS RENAUD INC.,SAINT-MARC DES CARRIÈRES QUÉBEC G0A4B0,755 BOUL. BONA DUSSAULT,G0A4B0
2% Gestion,METRO 5950 : METRO SUPER MARCHE STE-FOY,Sebastien Peticlerc,Telephone,4188647171,MS005950OPR@METRO.CA,Quebec 3,4,,No match,N/A,N/A,N/A
Général,BAR LE CACTUS,Gerant va appeler si besoin de biere (ou Felix),Courriel,4185279111,LOUIS@CACTUSQUEBEC.COM,Quebec 3,2,csp,BAR LE CACTUS. - 00504,QUÉBEC,"814, AVE MYRAND",G1V2V5
Général,La GASPESIENNE 51,Vanessa (courriel) / Myriam (COMM. 17 JUILLET) .,Courriel,8196990438,administration@lagaspesienne51.cam_desbois@hotmail.com,Quebec 3,2,csp,No match,N/A,N/A,N/A
Général,CAFE AU TEMPS PERDU,Francois par texto 581-888-1418,Cell + Email,4186815601,tpfrancois@hotmail.com,Quebec 3,3,csp,CAFE AU TEMPS PERDU. - 00506,QUÉBEC QUÉBEC G1V2V8,867 AVENUE MYRAND,G1V2V8
Général,CAFE FOU AELIES,Karl Levasseur,Courriel,5819914293,CAFE@AELIES.ULAVAL.CA,Quebec 3,4,csp,CAFE FOU AELIES. - 00714,QUÉBEC QUÉBEC G1V0A6,2320 RUE DE L'UNIVERSITÉ MAISON MARIE-SIROIS,G1V0A6
DBSQ + AA,CAPSULES BIÈRES L'AXE DU MALT,Remy / Martin (Rue Daiguillon),Cell + Email,5817427490,CAPSULESBIERE@LIVE.FR,Quebec 4,1,,L'AXE DU MALT.,QUÉBEC QUÉBEC G1R1M6,601 RUE D'AIGUILLON,G1R1M6
DBSQ + AA,LE MONDE DES BIÈRES - SO-CHO,Maxime Duchesne / Valerie,Courriel,4189157466,MAXIME@LEMONDEDESBIERES.COM,Quebec 4,2,,LE MONDE DES BIÈRES:LE MONDE DES BIERES - SO-CHO. - 00509,QUÉBEC QUÉBEC G2B3K5,9210 BOUL. DE L'ORMIÈRE,G2B3K5
DBSQ + AA,LE MONDE DES BIÈRES (QC 4),David / Eric (mardi am),Telephone,4186862437,mondedesbieres@gmail.com,Quebec 4,2,,MONDE DES BIÈRES. (QC 4) - 00510,,13 RUE MARIE-DE-L INCARNATION,G1N3G4
Général,ALIMENTATION GA RATTE,Jean-Francois Tremblay .(pm) .,Telephone,4185292197,DENIS_TR29@HOTMAIL.COM,Quebec 4,3,,ALIMENTATION G.A. RATTE. - 00511,QUÉBEC QUÉBEC G1K1G7,202 RUE DU CARDINAL-TASCHEREAU,G1K1G7
Général,EPICERIE DU PETIT CARTIER,Dave. .,Telephone,4185227524,sutan1999@hotmail.com,Quebec 4,3,,EPICERIE DU PETIT CARTIER. - 00512,,1191 AV.CARTIER,G1R2S2
2% Gestion,EPICERIE ROCHON,Gabrielle  / Julie Morin .,Cell + Email,4185230348,ENTREPRISES.YVRERO@GMAIL.COM,Quebec 4,3,,METRO/:METRO 6975 - EPICERIE ROCHON. - 00514,QUÉBEC QUÉBEC G1K3T7,98 RUE ARAGO EST,G1K3T7
Général,La boite a bieres,Felix C.418-704-5400 Vincent .,Telephone,4187045400,info@laboiteabieres.com,Quebec 4,3,,LA BOITE A BIERE. - 00772,,"1209, ROUTE DE L'ÉGLISE",G1W3N9
2% Gestion,METRO 22757 : CARTIER,M.Laplante (pas mardi),Telephone,4185228011,MF022757MGR@METRO.CA,Quebec 4,3,,No match,N/A,N/A,N/A
2% Gestion,METRO 4789 : METRO FERLAND,Garry lundi c.418-655-7385 ou Tommy,Courriel,4186817385,BERNARD.ALAIN@METROFERLAND.COM,Quebec 4,3,,METRO/:MÉTRO ALIMENTATION SERRO- 4789.,QUÉBEC QUÉBEC G1N4P5,707 CHAREST OUEST,G1N4P5
Général,BUVETTE SCOTT INC,Pier-Luc Germain,Courriel,5817773328,INFO@BUVETTESCOTT.COM,Quebec 4,3,csp,BUVETTE SCOTT INC. - 00518,QUÉBEC QUÉBEC G1R3C8,821 RUE SCOTT,G1R3C8
Général,PUB LE PROJET,Jean-Francois Belley Anti-DBSQ,Courriel,5819992345,nrodrigue@neliadominguescpa.com,Quebec 4,3,csp,PUB LE PROJET. - 00519,QUÉBEC QUÉBEC G1R6N8,399 ST-JEAN,G1R6N8
Général,Restaurant le parlementaire(comm. début septembre+verres),Louise Chouinard (blonde et rousse en fut),Phone,4185286892,lise.chouinard@assnat.qc.ca,Quebec 4,3,csp,No match,N/A,N/A,N/A
DBSQ + AA,ESPACE HOUBLON,Francis,Courriel,4509837122,INFO@ESPACEHOUBLON.CA,Rive Nord,1,,ESPACE HOUBLON:ESPACE HOUBLON SAINT-EUSTACHE. - 00520,ST-EUSTACHE,"180, 25E AVENUE, LOCAL 103A",J7P2V2
DBSQ + AA,ESPACE HOUBLON BLAINVILLE,Francis,Courriel,5796307122,INFO@ESPACEHOUBLON.CA,Rive Nord,1,,No match,N/A,N/A,N/A
DBSQ,ESPACE HOUBLON FABREVILLE,Francis,Courriel,4509378122,INFO@ESPACEHOUBLON.CA,Rive Nord,1,,ESPACE HOUBLON:ESPACE HOUBLON FABREVILLE. - 00522,FABREVILLE QUÉBEC H7P2P2,315 BOUL. CURÉ LABELLE,H7P2P2
DBSQ,ESPACE HOUBLON MASCOUCHE,Francis,Courriel,4504748122,INFO@ESPACEHOUBLON.CA,Rive Nord,1,,ESPACE HOUBLON:ESPACE HOUBLON MASCOUCHE. - 00523,MASCOUCHE QUÉBEC J7K2L5,500 MONTÉE MASSON,J7K2L5
DBSQ,LE PETIT VERRAT,Vincent Corriveau,Courriel,5147399155,boutique@leptitverrat.ca,Rive Nord,1,,LE PETIT VERRAT. - 00524,STE-ANNE DES PLAINES QUÉBEC JON1HO,142 BOUL STE-ANNE,JON1HO
AA,William J. Walter Blainville,Nathalie / Fabienne,Courriel,4504204555,info@saucisserieblainville.com,Rive Nord,1,,SAUCISSE BLAINVILLE WILLIAM J WATER. - 00557,BLAINVILLE,947 CURÉ LABELLE,J7C2L8
AA,DEPANNEUR ST-ANTOINE (Toit Rouge),Nicolas .,Courriel,4504383449,microtoitrouge@gmail.com,Rive Nord,2,,DÉPANNEUR ST-ANTOINE. - 00531,ST-JÉRÔME,833 BOUL ST-ANTOINE,J7T3C6
AA,IGA EXTRA CHAUMONT ET BILODEAU,Sylvain Chaumont/ Alexandre,Courriel,4504385214,iga08012sylvain.chaumont@sobeys.com,Rive Nord,2,,No match,N/A,N/A,N/A
AA,IGA QUINTAL MARCHE DES OISEAUX,Maxime 450' Tablette réfrigéré,Courriel,4509631072,m.quintal@igaquintal.com,Rive Nord,2,,IGA QUINTAL - MARCHE DES OISEAUX. - 00526,"STE-ROSE, LAVAL","380, BOUL CURÉ-LABELLE",H7L4T7
Général,MARCHE VAILLANCOURT (NEELIMA),Dad Jeudi c.514-232-7905,Courriel,4502262215,salyma.dad@gmail.com,Rive Nord,2,,W-INACTIF MARCHÉ D'ALIMENTATION NÉE LIMA.,MORIN HEIGHTS,"878, VILLAGE",J0R1H0
2% Gestion,METRO 0362: METRO PLUS DÉPATIE,Michel JEUDI Prends Spécialités,Telephone,5142582865,ma000362adm@metro.ca,Rive Nord,2,,No match,N/A,N/A,N/A
Saucisserie Bois des Filions,Sophie,Telephone,4506210611,lasaucisseriebdf@outlook.fr,Rive Nord,2,,SAUCISSERIE BDF. - 00528,BOIS-DES-FILLION (,"69, MONTÉE GAGNON",J6Z1H8
Général,STATION DES BIÈRES LAVAL,Nicolas c: 514 219-7011,Telephone,4509371008,LASTATIONDESBIERES@GMAIL.COM,Rive Nord,2,,No match,N/A,N/A,N/A
2% Gestion,(2462) 9408-6493 QUÉBEC INC.,Denis .,Telephone,4506611081,,Rive Nord,3,,METRO/:MÉTRO 2462 - 9408-6493 QUEBEC INC,LAVAL,"3200, bl. De la Concorde Est",H7E2B7
2% Gestion,2465 ALIMENTATION PATRICK LEMAY INC.,Gérald .,Telephone,4504727720,,Rive Nord,3,,METRO/:MÉTRO ALIMENTATION SOPHIE QUENNEVILLE  22375.,ST-EUSTACHE,"219, ST-LAURENT",J7P4W4
Général,Alimentation C.C. Sevigny Inc. (IGA 08367),Christian Sevigny cell: 514-212-8976,Cell + Email,4506654441,hockeydete@hotmail.com,Rive Nord,3,,IGA ALIMENTATION C.C. SEVIGNY INC - 00812,LAVAL,5805 BOUL. ROBERT-BOURASSA,H7C0A4
Général,Alimentation Manon Bélanger Provigo 8068,Yvon X,Cell + Email,4504395986,smp8068g@provigo.ca,Rive Nord,3,,LOBLAW:ALIMENTATION MANON BELANGER - 00800,ST-LIN-LAURENTIDES,1095 ST-ISIDORE,J5M2V5
Boucherie Lorrain,Philippe Caouette,Phone,4509517755,,Rive Nord,3,,9260-8264 QC INC - BOUCHERIE LORRAIN,ROSEMERE,"145, BOUL LABELLE",J1A2H2
Général,DEPANNEUR BERGE DE LA BRISE,ERIC .,Cell + Email,5146326388,BONNECHANCEGW@YAHOO.CA,Rive Nord,3,,No match,N/A,N/A,N/A
Général,Dépanneur du Lac Renaud,Alex verschelden,PivoHub/Courriel,4502247743,deprenaud@hotmail.com,Rive Nord,3,,No match,N/A,N/A,N/A
Général,DEPANNEUR DUVERNAY,Lan,Telephone,4506615152,LANBM@HOTMAIL.COM,Rive Nord,3,,DEPANNEUR DUVERNAY. - 00560,LAVAL,2915 BOULV DE LA CONCORDE E,H7E2B5
Général,DEPANNEUR GB LEBEAU,BENOIT LEBEAU .(5142914478) .,Phone,4506662663,ONIALR17@GMAIL.COM,Rive Nord,3,,No match,N/A,N/A,N/A
Dépanneur Mami,Nathasha mario provost,Cell + Email,4504391443,depmami2013@hotmail.fr,Rive Nord,3,,2947-6751 QUEBEC INC - DEPANNEUR MAMI - 00781,ST-LIN-LAURENTIDES,961 RANG ST-HENRIETTE,J5M2P6
Général,Depanneur Richard Patenaude,Richard,Courriel,4504742415,BS00553DEPANNEURPATENAUDE@SOBEYS.COM,Rive Nord,3,,DEPANNEUR RICHARD PATENEAUDE. - 00529,MASCOUCHE,2685 RUE STE-MARIE,J7K1M8
Général,DEPANNEUR RR 640,Valerie / Philipe Avant 3PM,PivoHub/Courriel,4504771822,BS02021MASCOUCHE@SOBEYS.COM,Rive Nord,3,,DEPANNEUR RR 640. - 00530,MASCOUCHE QUÉBEC J7L3P2,236 CHEMIN DES ANGLAIS,J7L3P2
Dépanneur St-Rémi,Jolyane C thibault 819-421-2611,Cell + Email,8196872022,jolyanecthibault@hotmail.com,Rive Nord,3,,9169-3416 QUEBEC INC - DEPANNEUR ST-REMI - 00785,ST-REMI D'AMHERST,183 RUE AMHERST,J0T2L0
Général,DEPANNEUR VOISIN (STE-MARTHE),Brigitte (Pas Vendredi),Courriel,4504915155,DV02134VOISIN@SOBEYS.COM,Rive Nord,3,,DEPANNEUR VOISIN (STE-MARTHE). - 00532,STE-MARTHE QUÉBEC JON1P0,"3180, CHEMIN D'OKA",JON1P0
Général,FROMAGER SAUCISSIER STE-DOROTHE,Philippe .,Courriel,4506898436,WJWLAVAL@HOTMAIL.COM,Rive Nord,3,,FROMAGER SAUCISSIER STE-DOROTHE. - 00561,LAVAL,"241, Boulevard Samson",H7X3E4
Général,IGA 529 ROBERT TELLIER Bellefeuille,Kevin :),Phone,4505655977,IGA00529COMPTABILITE@SOBEYS.COM,Rive Nord,3,,No match,N/A,N/A,N/A
Général,IGA 8073 EXTRA LORD,Paul préfère appel le jeudi,Telephone,4505658890,IGA08073LAFONTAINE@SOBEYS.COM,Rive Nord,3,,IGA 8073 EXTRA LORD. (9023-4683 QUEBEC INC.). - 00534,ST-JÉRÔME QUÉBEC J7Y1M8,2012 RUE ST-GEORGES,J7Y1M8
Général,IGA 8311  EXTRA FAMILLE JASMIN 9702571 CANADA INC,Mathieu Valiquette :),Telephone,4502272141,iga08311epicerie@sobeys.com,Rive Nord,3,,IGA EXTRA FAMILLE JASMIN 9702571 CANADA INC. - 00535,SAINT-SAUVEUR QUÉBEC J0R1R6,130 CHEMIN DU LAC MILLETTE,J0R1R6
Général,IGA Alimentation Gareau( iga rawdon famille guilbault ),WILLIAM GUILBAULT / MARTIN GUILBAULT .,Telephone,4508342633,iga08049william.guilbault@sobeys.com,Rive Nord,3,,No match,N/A,N/A,N/A
Général,IGA CREVIER,ELIAS POSTE 203 veut que de la canette,Telephone,4506893131,,Rive Nord,3,,IGA CREVIER. - 00536,LAVAL QUÉBEC H7X3S9,550 AUTOROUTE CHOMEDY,H7X3S9
Général,IGA DAIGLE (#399),Luc Filion c. 450-848-5954 (Denis Martin Gerant),Telephone,4504351370,Iga00399epicerie@sobeys.com,Rive Nord,3,,No match,N/A,N/A,N/A
Général,IGA DAIGLE 8033,Mathieu (pas vendredi) Mr.Gauthier,Courriel,4504355500,iga08033comptabilite@sobeys.com,Rive Nord,3,,No match,N/A,N/A,N/A
