Classification,Name,Contact,Communication_Preference,Phone,Invoice_Email,Route,Rating,csp,,matchname,city,street,postalcode
Saisonnier,Tourisme de L'anse -VIEILLE USINE,ANDRÉANNE (418-370-9381) Philou 418 398-9803 Martin 418 782456,Telephone,4187822277,ADMIN@LAVIEILLEUSINE.QC.CA,Local (Percé),2,csp,,Tourisme de L'anse -VIEILLE USINE. - 00257,ANSE-A-BEAUFILS (,"55, RUE A BONFILS",LS(QC)
Général,COMPTOIR MONSIEUR EMILE,FERNANDO 514-318-0077 Manue 581-886-0593,Telephone,4187822924,INFO@FUMOIR-MONSIEUR-EMILE.COM,Local (Percé),2,csp,,COMPTOIR MONSIEUR ÉMILE. - 00258,PERCÉ QUÉBEC G0C2L0,"16, RUE BIARD",G0C2L0
Saisonnier,FESTIVAL DES PERSÉIDES,,Telephone,4187824379,ANTOINE.A.DUPUIS@PERCEIDES.COM,Local (Percé),2,csp,,FESTIVAL DES PERCÉIDES. - 00259,PERCÉ,162 RTE 132,G0C2L0
Général,LA BOÎTE À FRUITS DE MER,Marc-Olivier,Telephone,4187832461,marc-olivier-nicolas-24@hotmail.com,Local (Percé),3,csp,,No match,N/A,N/A,N/A
Saisonnier,LA NORMANDIE,Jean Lemarquand (418-782-6999) .,Telephone,4187822112,HOTEL@NORMANDIEPERCE.COM,Local (Percé),3,csp,,LA NORMANDIE. - 00262,PERCE,221 RTE 132 OUEST,GOC2L0
Saisonnier,LE BIARD (RESTAURANT),DENIS 418-782-2873 .,Telephone,4183853310,RESTBIARD@HOTMAIL.FR,Local (Percé),3,csp,,No match,N/A,N/A,N/A
Général,LE CAFE CHAMPÊTRE,Mona 418 782-4043,Telephone,4187824043,PERCE98@CGOCABLE.CA,Local (Percé),3,csp,,LE CAFÉ CHAMPÊTRE. - 00264,PERCÉ,"162, ROUTE 132 OUEST",G0C2L0
Général,LE DRAGUEUR,Donald Vachon - 418-689-0990,Telephone,,lachaloupe2004@hotmail.com,Local (Percé),3,csp,,No match,N/A,N/A,N/A
Général,LE FOURNAND,Xavier va appeler quand aura besoin,Telephone,4187822211,,Local (Percé),3,csp,,No match,N/A,N/A,N/A
Saisonnier,LES MILLES DELICE,DAVIS (418-689-0669) .,Telephone,,,Local (Percé),3,csp,,No match,N/A,N/A,N/A
Général,MAISON DU PÊCHEUR,France-418-782-6205,Telephone,4187825331,PECHEUR@ROCHERPERCE.NET,Local (Percé),3,csp,,MAISON DU PÊCHEUR. - 00268,C.P.201,157 ROUTE 132
C.P.201
Général,MAISON MATHILDE,Jessica,Telephone,4187822349,AUBERGE3@GLOBETROTTER.NET,Local (Percé),3,csp,,MAISON MATHILDE. - 00269,PERCE,85 RTE 132,G0C2L0
Général,MANOIRPERCE,Marie-Josee cell: 418 782-5912,Telephone,4187822022,info@manoirdeperce.com,Local (Percé),3,csp,,MANOIR  PERCÉ. - 00270,PERCE,212 RTE 132,G0C2L0
Général,MOTEL COTE SURPRISE,Sandy,Telephone,4187822131,M.BISSONNETTE@BMCABLE.CA,Local (Percé),3,csp,,MOTEL COTE SURPRISE. - 00271,PERCE,367 RTE 132 OUEST,G0C2L0
Saisonnier,PARC ILE BONAVENTURE &ROCHER PERCE,Marie-Dominique # 222 (418-782-7167) .,Telephone,4187822240,AUDET.CAROLINE@SEPAQ.COM,Local (Percé),3,csp,,PARC ILE BONAVENTURE & DU ROCHER PERCE. - 00272,PERCE,4 RUR DU QUAI,G0C2L0
Général,RESTAURANT LE SURCOUF,SERGE (418-782-1786) .,Telephone,4187825656,RESTAURANTLESURCOUF@HOTMAIL.COM,Local (Percé),3,csp,,RESTAURANT LE SURCOUF. - 00274,PERCE,168 RTE 132 OUEST,G0C2L0
Saisonnier,RIOTEL PERCE,Danielle (418-202-0571) .,Telephone,4185662651,NDASTOUS@RIOTEL.COM,Local (Percé),3,csp,,No match,N/A,N/A,N/A
Général,TABLE A ROLAND,Jean-Pierre,Telephone,4187822606,TROLAND@GLOBETROTTER.NET,Local (Percé),3,csp,,TABLE A ROLAND. - 00276,C.P. 459,190 RTE 132 OUEST
.P.459
Général,VILLE DE PERCE,Gregory Molnar,Telephone,,CULTURE@VILLE.PERCE.QC.CA,Local (Percé),3,csp,,No match,N/A,N/A,N/A
